Förslag	V	Mp	S	L	C	M	Kd	Sd
Klimatskadliga subventioner	Ja	Ja	?	Ja	Ja	Ja	Ja	Nej
Avståndsbaserat reseavdrag	Ja	Ja	?	Ja	Ja	Nej	Ja	?
Flygets miljökostnader	Ja	Ja	Ja	Ja	Ja	Ja	Ja	Nej
Fossila investeringar via exportkrediter	Ja	Ja	?	Ja	Ja	Nej	Ja	Nej
Konsumtionens klimatpåverkan	Ja	Ja	Ja	Ja	Nej	Nej	Nej	?
Klimathandlingsplaner	Ja	Ja	Ja	Ja	Ja	Ja	?	Nej
Skydd av värdefulla skogar	Ja	Ja	Ja	Ja	Nej	Nej	Nej	Nej
Översyn av skogspolitiken	Ja	Ja	Nej	Ja	Nej	Ja	Ja	?
Mineralutvinning i skyddad natur	Ja	Ja	Nej	Ja	Nej	Nej	Nej	Nej
Ekologiskt jordbruk	Ja	Ja	Ja	Nej	Nej	Ja	Ja	Nej
Miljöavgift på växtskyddsmedel	Ja	Ja	Ja	Ja	?	Nej	?	Nej
Miljöersättning till betesmarker	Ja	Ja	Ja	Ja	Ja	Nej	Ja	Ja
Stärkt marint skydd	Ja	Ja	Ja	Ja	Nej	Nej	Ja	Nej
Förbud mot bottentrålning	Ja	Ja	Ja	?	Nej	Ja	Nej	Nej
Återvinning av plast	Ja	Ja	Ja	Ja	Ja	Ja	Ja	Nej
Information om varors kemikalieinnehåll	Ja	Ja	Ja	Ja	Ja	Ja	Ja	Ja
Ägardirektiv till statliga bolag	Ja	Ja	Ja	Ja	Ja	Ja	Ja	Nej
Stärkande av miljöbalken	Ja	Ja	Nej	Ja	Nej	Ja	Ja	?
